"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2697","Verify that user can see and fill the login form","","Fri Nov 15 03:20:07 IST 2024","passed","Fri Nov 15 03:20:10 IST 2024","","","",""
"","2718","Verify that user is getting error mesage when user enters wrong email id","","Fri Nov 15 03:20:10 IST 2024","passed","Fri Nov 15 03:20:13 IST 2024","","","",""
"","7307","Verify that user Email is auto-populated in Account Information Page","","Fri Nov 15 03:19:56 IST 2024","passed","Fri Nov 15 03:20:03 IST 2024","","","",""
"","2421","Verify that user is getting error mesage when user enters wrong password","","Fri Nov 15 03:20:13 IST 2024","passed","Fri Nov 15 03:20:15 IST 2024","","","",""
"","4347","Verify that user Name is auto-populated in Account Information Page","","Fri Nov 15 03:19:47 IST 2024","passed","Fri Nov 15 03:19:52 IST 2024","","","",""
"","2129","Verify that user Email is auto-populated in Account Information Page","","Fri Nov 15 03:19:52 IST 2024","passed","Fri Nov 15 03:19:54 IST 2024","","","",""
"","559","Verify that the Account Information Page is accessible","","Fri Nov 15 03:19:47 IST 2024","passed","Fri Nov 15 03:19:47 IST 2024","","","",""
"","2141","Verify that user can see and fill the SignUp form","","Fri Nov 15 03:20:19 IST 2024","passed","Fri Nov 15 03:20:21 IST 2024","","","",""
"","2489","Verify that user is getting error mesage when user enters both email and password wrong","","Fri Nov 15 03:20:15 IST 2024","passed","Fri Nov 15 03:20:17 IST 2024","","","",""
"","1033","Verify that the login page is accessible","","Fri Nov 15 03:20:06 IST 2024","passed","Fri Nov 15 03:20:07 IST 2024","","","",""
"","2895","Verify that user can fill the form with test data","","Fri Nov 15 03:20:03 IST 2024","passed","Fri Nov 15 03:20:06 IST 2024","","","",""
"","2174","Verify that user Email is auto-populated in Account Information Page","","Fri Nov 15 03:19:54 IST 2024","passed","Fri Nov 15 03:19:56 IST 2024","","","",""
"","1827","Verify that user is not able to proceed without filling the email","","Fri Nov 15 03:20:23 IST 2024","passed","Fri Nov 15 03:20:25 IST 2024","","","",""
"","2479","Verify that user can see and fill the SignUp form using randomemail","","Fri Nov 15 03:20:21 IST 2024","passed","Fri Nov 15 03:20:23 IST 2024","","","",""
"","999","Verify that the SignUp Page  is accessible","","Fri Nov 15 03:20:17 IST 2024","passed","Fri Nov 15 03:20:18 IST 2024","","","",""
